SateId,Panchayat
12,Lathi Municipality
12,Damnagar Municipality
12,Amreli Municipality
12,Bagasara Municipality
12,Chalala Municipality
12,Savarkundla Municipality
12,Jafrabad Municipality
12,Rajula Municipality
12,Botad Municipality
12,Vallabhipur Municipality
12,Gadhada Municipality
12,Bhavnagar Municipal Corporation
12,Sihor Municipality
12,Gariadhar Municipality
12,Palitana Municipality
12,Talaja Municipality
12,Mahuva Municipality
12,Sojitra Municipality
12,Umreth Municipality
12,Boriavi Municipality
12,Ode Municipality
12,Anand Municipality
12,Vallabh Vidyanagar Municipality
12,Karamsad Municipality
12,Petlad Municipality
12,Khambhat Municipality
12,Borsad Municipality
12,Anklav Municipality
12,Kapadvanj Municipality
12,Balasinor Municipality
12,Kathlal Municipality
12,Mehmedabad Municipality
12,Kheda Municipality
12,Nadiad Municipality
12,Chaklasi Municipality
12,Kanjari Municipality
12,Mahudha Municipality
12,Thasra Municipality
12,Dakor Municipality
12,Santrampur Municipality
12,Lunawada Municipality
12,Shahera Municipality
12,Godhra Municipality
12,Kaalol Municipality
12,Halol Municipality
12,Jhalod Municipality
12,Dahod Municipality
12,Devgadbaria Municipality
12,Savli Municipality
12,Vadodara Municipal Corporation
12,Chhota Udaipur Municipality
12,Dabhoi Municipality
12,Padra Municipality
12,Karjan Municipality
12,Rajpipla Municipality
12,Jambusar Municipality
12,Amod Municipality
12,Bharuch Municipality
12,Anklesvar Municipality
12,Saputara Notified Area Council
12,Navsari Municipality
12,Vijalpor Municipality
12,Gandevi Municipality
12,Bilimora Municipality
12,Valsad Municipality
12,Dharampur Municipality
12,Pardi Municipality
12,Vapi Municipality
12,Umargaon Municipality
12,Tarsadi Municipality
12,Mandvi Municipality
12,Surat Municipal Corporation
12,Kansad Municipality
12,Bardoli Municipality
12,Songadh Municipality
12,Vyara Municipality
12,Mundra-Baroi Municipality
13,Ambala Sadar Notified Area Council
13,Barara Municipality
13,Bass Municipality
13,Bhuna Municipality
13,Ismailabad Municipality
13,Jakhal Mandi Municipality
13,Kundli Municipality
13,Nangal Chaudhary Municipality
13,Radaur Municipality
13,Rajound Municipality
13,Sadhaura Municipality
13,Uklanamandi Municipality
13,Panchkula Municipal Corporation
13,Naraingarh Municipality
13,Ambala Municipal Corporation
13,Ambala Cantonment Board
13,Yamunanagar Municipal Corporation
13,Shahbad Municipality
13,Pehowa Municipality
13,Thanesar Notified Area Council
13,Ladwa Municipality
13,Cheeka Municipality
13,Kaithal Notified Area Council
13,Kalayat Municipality
13,Pundri Municipality
13,Nilokheri Municipality
13,Taraori Municipality
13,Indri Municipality
13,Karnal Municipal Corporation
13,Nissing Municipality
13,Assandh Municipality
13,Gharaunda Municipality
13,Panipat Municipal Corporation
13,Samalkha Municipality
13,Gohana Notified Area Council
13,Ganaur Municipality
13,Sonipat Municipal Corporation
13,Kharkhoda Municipality
13,Narwana Notified Area Council
13,Uchana Municipality
13,Jind Notified Area Council
13,Julana Municipality
13,Safidon Municipality
13,Ratia Municipality
13,Tohana Notified Area Council
13,Fatehabad Notified Area Council
13,Mandi Dabwali Notified Area Council
13,Kalanwali Municipality
13,Sirsa Notified Area Council
13,Rania Municipality
13,Ellenabad Municipality
13,Barwala Municipality (HISAR)
13,Hisar Municipal Corporation
13,Narnaund Municipality
13,Hansi Notified Area Council
13,Bawani Khera Municipality
13,Bhiwani Notified Area Council
13,Siwani Municipality
13,Loharu Municipality
13,Charkhi Dadri Notified Area Council
13,Meham Municipality
13,Rohtak Municipal Corporation
13,Kalanaur Municipality
13,Sampla Municipality
13,Beri Municipality
13,Bahadurgarh Notified Area Council
13,Jhajjar Municipality
13,Kanina Municipality
13,Mahendragarh Municipality
13,Ateli Municipality
13,Narnaul Notified Area Council
13,Dharuhera Municipality
13,Rewari Notified Area Council
13,Bawal Municipality
13,Haileymandi Municipality
13,Pataudi Municipality
13,Gurugram Municipal Corporation
13,Farrukhnagar Municipality
13,Sohna Notified Area Council
13,Taoru Municipality
13,Nuh Municipality
13,Ferozepur Jhirka Municipality
13,Punahana Municipality
13,Faridabad Municipal Corporation
13,Palwal Notified Area Council
13,Hathin Municipality
13,Hodal Notified Area Council
13,Sisai Municipality
13,Kalka Municipal council
13,Badli Municipal Committee
13,Siwan Municipal Committee
13,Adampur Municipal Committee
13,Badhra Municipal Committee
13,Manesar Municipal Corporation
14,Baijnath Paprola Town Panchayat
14,Jawali Town Panchayat
14,Karsog Town Panchayat
14,Khasyol Cantonment Board
14,Nerchowk Municipality
14,Tahliwal Town Panchayat
14,Dalhousie Cantonment Board
14,Dalhousie Municipality
14,Bakloh Cantonment Board
14,Chowari Town Panchayat
14,Chamba Municipality (CHAMBA)
14,Nurpur Municipality
14,Dharamshala Municipal Corporation
14,Kangra Municipality
14,Nagrota Bagwan Municipality
14,Dehra Municipality
14,Jawalamukhi Municipality
14,Palampur Municipality
14,Manali Municipality
14,Kullu Municipality
14,Bhuntar Town Panchayat
14,Banjar Town Panchayat
14,Jogindarnagar Municipality
14,Sarkaghat Town Panchayat
14,Sundernagar Municipality
14,Mandi Municipality
14,Rawalsar Town Panchayat
14,Tira Sujanpur Municipality
14,Nadaun Town Panchayat
14,Hamirpur Municipality (HAMIRPUR-HP)
14,Bhota Town Panchayat
14,Daulatpur Town Panchayat
14,Gagret Town Panchayat
14,Una Municipality (UNA)
14,Mehatpur Basdehra Municipality
14,Santokhgarh Municipality
14,Ghumarwin Municipality
14,Talai Town Panchayat
14,Naina Devi Municipality
14,Bilaspur Municipality (BILASPUR)
14,Arki Town Panchayat
14,Nalagarh Municipality
14,Baddi Municipality
14,Kasauli Cantonment Board
14,Parwanoo Municipality
14,Dagshai Cantonment Board
14,Solan Municipality
14,Subhatu Cantonment Board
14,Rajgarh Town Panchayat (SIRMAUR)
14,Nahan Municipality
14,Paonta Sahib Municipality
14,Rampur Municipality (SHIMLA)
14,Narkanda Town Panchayat
14,Suni Town Panchayat
14,Jutogh Cantonment Board
14,Shimla Municipal Corporation
14,Theog Municipality
14,Chopal Town Panchayat
14,Jubbal Town Panchayat
14,Kotkhai Town Panchayat
14,Rohru Municipality
14,Kandaghat Town Panchayat
15,Arhama Municipality
15,Gagran Municipality
15,Gorah Salathian Municipality
15,Langate Municipal Council
15,Memendar Municipality
15,Basohli Municipal Committee
15,Chenani Municipal Committee
15,Hiranagar Municipal Committee
15,Katra Municipal Committee
15,Lakhanpur Municipal Committee
15,Nowshera Municipal Committee
15,Rajouri Municipal Committee
15,Ramban Municipal Committee
15,Ramnagar Municipal Committee
15,Reasi Municipal Committee
15,Parole Municipal Committee
15,Kathua Municipal Council
15,Udhampur Municipal Council
15,Pinjoora A Municipality
15,Pinjoora B Municipality
15,Pinjoora C Municipality
15,Rehambal Town Panchayat
15,Talwara Town Panchayat (REASI)
